,# year,lat,lon,cOther_x,cCwd_x,cVeg_x,cLitter_x,cLeaf_x,cRoot_x,evspsblsoi,lai,tsl,mrro,mrsos,grassFrac,shrubFrac,cropFrac,baresoilFrac,residualFrac,treeFrac,shrubFrac.1,cSoil_x,cStem_x,wetlandFrac,ps,pr,tas_DJF,tas_JJA,tas_MAM,tas_SON,grassCropFrac,cesm_agb,agb,Unnamed: 0,cSoil_y,cCwd_y,cVeg_y,cLitter_y,cLeaf_y,cRoot_y,cStem_y,cOther_y,year,observed_agb
3,2014.0,43.821991,-80.0,0.1979660540819168,0.2742883861064911,1.103832125663757,0.35883381962776184,0.05370417237281799,0.1998910754919052,6.404653959179996e-06,1.794197678565979,284.4040222167969,1.4422005733649712e-05,32.47195816040039,30.417634963989254,0.0,44.59146499633789,0.0,13.03648281097412,11.954405784606932,0.0,11.989596366882324,0.5289271473884584,0.0,98662.2265625,3.0781211535213515e-05,271.5198669433594,297.2384033203125,279.66259765625,285.81201171875,75.00909996032713,0.7805973738431932,0.14612392999999999,13550,22.988592,4.413249,10.2462435,0.89523005,0.21442065,2.5536776,7.293136,0.34223202,2015.0,7.84978867
4,2014.0,43.821991,-65.0,0.34100893139839167,2.923297166824341,15.628346443176268,0.5034407377243042,0.3176795542240143,3.8629114627838126,4.883839665126288e-06,4.401432991027832,285.2144775390625,2.7863301511388272e-05,31.830383300781246,2.421983480453491,0.0,0.20699264109134677,0.0,6.000002384185791,91.37102508544922,0.0,8.534581184387207,11.141280174255373,4.978761672973633,101117.2734375,4.7100464144023135e-05,277.68218994140625,295.4161376953125,282.0359191894531,288.4020080566406,2.6289761215448375,11.799968659877779,4.0183067,13551,21.79806,4.438442,10.2494,0.83710456,0.19711575,2.5592952,7.254327,0.33092692,2015.0,7.78236967
5,2014.0,44.7643967,-81.25,0.126621276140213,0.34459781646728516,1.472607970237732,0.10293758660554884,0.02903524972498417,0.3305981457233429,2.001141547225416e-05,0.6949782371520996,284.2286071777344,4.814079602510901e-06,36.104679107666016,6.6349406242370605,0.0,5.756615161895752,14.867110252380373,62.0,10.741333961486816,0.0,2.5421252250671382,0.9707472324371338,2.147888660430908,98918.5,2.7336942366673608e-05,271.6351623535156,296.7424011230469,277.8359375,285.787841796875,12.391555786132812,1.126403758302331,1.1043701000000001,13552,7.5095415,1.5132633,3.9735727,0.33734915,0.12020006,0.9304698,2.697996,0.067302495,2015.0,2.885498555
6,2014.0,44.7643967,-80.0,0.2389228790998459,0.7748985290527343,2.7522351741790767,0.20871418714523315,0.05456608161330223,0.6141396164894104,1.564524973218795e-05,1.275668740272522,283.7449645996094,7.743624337308574e-06,35.37431716918945,12.719864845275877,0.0,9.093522071838379,11.106966972351074,44.52529525756836,22.554349899291992,0.0,6.290054321289063,1.8096771240234373,0.0,98530.0,2.862127985281404e-05,270.37356567382807,296.550048828125,278.2146301269531,285.0765991210937,21.813386917114254,2.1031660847365856,8.2440155,13553,14.424615,2.2363307,6.0308013,0.4101474,0.123867,1.5101128,4.267323,0.23417214,2015.0,4.62536214
7,2014.0,44.7643967,-78.75,0.4693344831466674,1.7629656791687012,6.875050067901611,0.3745937347412109,0.12352343648672104,1.5755547285079956,7.503017059207195e-06,2.4774744510650635,282.51028442382807,1.2172597962489816e-05,29.670913696289062,15.917022705078123,0.0,13.238648414611816,0.0,10.135313034057615,60.70902633666992,0.0,7.331317424774171,4.650672912597656,0.0,98457.4375,2.8822307285736315e-05,269.9499816894531,295.881591796875,278.2048645019531,283.9085693359375,29.15567111968994,5.243530832231045,9.595553599999999,13554,14.811151,3.269996,8.344669,0.6747396,0.17055234,2.0796738,5.9310393,0.22640303,2015.0,6.327994670000001
8,2014.0,44.7643967,-77.5,0.4439129531383514,2.1447050571441646,8.415904998779297,0.3833783864974976,0.1653091162443161,1.989862322807312,6.064316039555705e-06,2.784078598022461,282.4540710449219,1.2744340892822947e-05,30.648864746093754,11.380829811096191,0.0,8.71148681640625,0.0013926458777859807,4.000001430511475,75.90629577636719,0.0,7.280916213989258,5.785587310791016,10.638606071472168,98897.1875,2.838386717485264e-05,269.9514465332031,296.0259704589844,278.4066467285156,283.7409362792969,20.09231662750244,6.394809380173683,7.328,13555,16.27508,3.2873967,8.170017,0.6739433,0.1685439,2.0317202,5.78854,0.24808195,2015.0,6.20516585
9,2014.0,44.7643967,-76.25,0.4815654456615448,1.286898851394653,5.066173553466797,0.39351901412010193,0.11297729611396788,1.150814175605774,6.0030329223081935e-06,2.579026699066162,282.7030944824219,1.3314415809873024e-05,30.63376808166504,25.045564651489254,0.0,18.39204406738281,0.0,7.999999523162842,48.562381744384766,0.0,7.591139316558839,3.2918641567230225,19.86390495300293,99230.5703125,3.067909347009845e-05,269.980224609375,295.9237365722656,278.6387634277344,283.8525085449219,43.43760871887207,3.886406898498535,1.4641329,13556,14.855958,2.2005298,5.494423,0.44325992,0.11334177,1.36092,3.8458133,0.24179819,2015.0,4.20095326
10,2014.0,44.7643967,-65.0,0.336573988199234,2.550501108169556,11.938574790954588,0.4114934504032135,0.2600059807300568,2.9668099880218506,4.615912530425703e-06,3.6904575824737544,282.925048828125,3.1430918170372024e-05,36.62678146362305,7.21990966796875,0.0,4.60570240020752,0.0,5.000003337860107,83.17438507080078,0.0,7.92557716369629,8.43302536010742,10.940695762634276,100679.5625,4.712033478426747e-05,272.293212890625,294.8560485839844,279.42385864257807,284.761474609375,11.825612068176268,9.02960532903671,5.3968147,13557,18.61664,3.652743,8.648374,0.7070129,0.16839263,2.1658287,6.101398,0.3050888,2015.0,6.574879429999999
11,2014.0,44.7643967,-63.75,0.34474352002143854,2.692293167114258,13.196879386901855,0.45468840003013605,0.2815422117710113,3.2863311767578125,4.178151357336901e-06,3.9688870906829834,283.8596496582031,2.97470669465838e-05,35.94354248046875,6.622403621673584,0.0,4.056011676788329,0.0,3.598576784133911,85.72301483154298,0.0,8.688172340393066,9.355567932128906,12.131773948669432,100760.8984375,4.650997652788647e-05,274.9608459472656,294.46731567382807,280.4036560058594,286.7357788085937,10.678415298461914,9.981853663921356,5.6420937,13558,18.64956,4.5352516,10.345389,0.9856231,0.20964369,2.5702963,7.357775,0.30356434,2015.0,7.8709830300000005
12,2014.0,45.7068062,-80.0,0.3740711510181427,2.3728234767913814,8.720836639404297,0.3219105005264282,0.15414442121982574,2.080599069595337,8.35198807180859e-06,2.3508059978485107,281.767333984375,1.1114556400571018e-05,31.155242919921875,5.128830432891846,0.0,0.930326759815216,2.739609479904175,16.000001907348633,75.20123291015625,0.0,6.2609190940856925,6.102071762084961,22.71074867248535,98384.46875,2.7837262678076516e-05,268.939453125,295.2978210449219,277.1799621582031,283.1618347167969,6.059157192707062,6.630287334322929,8.796329,13559,17.292017,3.105551,7.8052135,0.6052625,0.16333875,1.9406643,5.532043,0.27329615,2015.0,5.9686779
