1984,64059892597.670494
1985,64305280255.61796
1986,64416733860.71357
1987,64667372132.321655
1988,64966176615.32501
1989,65185325437.92973
1990,65321938572.437584
1991,65545868938.19794
1992,65682857512.19912
1993,65780527962.94136
1994,65906180476.05802
1995,65978964644.20196
1996,65974281826.2002
1997,66024838864.00692
1998,66367139950.416534
1999,66728197759.04822
2000,66944457115.18783
2001,67138458684.32397
2002,67145090496.40364
2003,67191075637.066574
2004,67188251313.952736
2005,67406215144.606865
2006,67844239194.214134
2007,68023754313.79474
2008,68158292639.704346
2009,68306773513.34247
2010,68601222597.26736
2011,68874086267.67851
2012,69135106216.60632
2013,69224554057.22421
2014,69222896223.63
2015,69291959217.09692
