1984,141.51811341831967,53809208772.10834
1985,136.2980596237388,53930969870.31051
1986,138.86691952766944,54013743134.68362
1987,146.14441354227657,54204683579.200386
1988,142.5278336161104,54438854103.61838
1989,144.94571492967972,54629384765.99572
1990,145.73047144583532,54783451174.644905
1991,150.09864527697957,54973512800.70292
1992,140.58840179559292,55079775124.225586
1993,149.43652306923812,55146597613.9764
1994,145.58149791535345,55247265100.19729
1995,144.1503166344119,55267000066.560394
1996,140.77299007994992,55267142834.451904
1997,143.49832183729507,55330407558.530785
1998,150.56482664803804,55582414163.27433
1999,152.3243886685863,55837849254.14034
2000,146.43420421879438,56018763247.79452
2001,143.54555338652827,56123244785.47325
2002,134.4126381556872,56079954786.88946
2003,142.50870409894335,56061045291.50489
2004,137.8299241109165,56069090420.80205
2005,153.16999850375245,56255256223.82458
2006,151.0972928142602,56562879636.27956
2007,148.5743077267221,56695005643.114235
2008,149.57745826207218,56838839275.69037
2009,143.60868131955382,56965917592.866974
2010,156.8971715711983,57206799882.15723
2011,150.01183006973247,57416414980.37079
2012,155.31829770589727,57566444110.81283
2013,151.51628278079315,57679853542.19954
2014,151.80368535322367,57739291991.75546
2015,0,0
23343,20863
